state_name,date,no2
Arizona,2025-09-25,4.07423
Arizona,2025-09-26,4.0640025
Arkansas,2025-09-25,4.16938
Arkansas,2025-09-26,4.047234285714286
Baja California,2025-09-25,4.172186666666667
Baja California,2025-09-26,4.158002222222223
Baja California Sur,2025-09-25,4.52227
Baja California Sur,2025-09-26,4.499486666666667
British Columbia,2025-09-25,3.22971
British Columbia,2025-09-26,3.2571446153846155
California,2025-09-25,3.9239100000000002
California,2025-09-26,3.9424815384615384
Chihuahua,2025-09-25,4.34325
Chihuahua,2025-09-26,4.25987875
Coahuila,2025-09-25,4.31948
Coahuila,2025-09-26,4.326676000000001
Colorado,2025-09-25,3.84621
Colorado,2025-09-26,3.860596
Delaware,2025-09-26,3.971823076923077
Durango,2025-09-25,4.53647
Durango,2025-09-26,4.534409999999999
Florida,2025-09-25,4.12721
Florida,2025-09-26,4.384752173913044
Georgia,2025-09-25,4.09854
Georgia,2025-09-26,4.090927
Idaho,2025-09-25,3.63265
Idaho,2025-09-26,3.60360375
Illinois,2025-09-25,3.82499
Illinois,2025-09-26,3.9075142857142855
Iowa,2025-09-26,3.68043
Kansas,2025-09-25,3.84621
Kansas,2025-09-26,3.8506357142857146
Kentucky,2025-09-25,3.84655
Kentucky,2025-09-26,3.8414800000000002
Louisiana,2025-09-25,4.31948
Louisiana,2025-09-26,4.320231000000001
Maine,2025-09-26,3.547168
Manitoba,2025-09-25,3.25432
Manitoba,2025-09-26,3.293853
Massachusetts,2025-09-26,3.623806666666667
Michigan,2025-09-25,3.56416
Michigan,2025-09-26,3.5966293333333335
Minnesota,2025-09-25,3.56416
Minnesota,2025-09-26,3.6045357142857144
Mississippi,2025-09-25,3.96518
Mississippi,2025-09-26,4.091422857142857
Montana,2025-09-25,3.36161
Montana,2025-09-26,3.3396476190476188
Nebraska,2025-09-25,3.84621
Nebraska,2025-09-26,3.851261428571429
Nevada,2025-09-25,3.84621
Nevada,2025-09-26,3.8938475
New Mexico,2025-09-25,4.09854
New Mexico,2025-09-26,4.06345875
New York,2025-09-26,3.599432
North Carolina,2025-09-26,4.1749768750000005
North Dakota,2025-09-25,3.35197
North Dakota,2025-09-26,3.2735469999999998
Nuevo León,2025-09-26,4.53064
Oklahoma,2025-09-25,4.09854
Oklahoma,2025-09-26,4.033331538461538
Ontario,2025-09-25,3.23203
Ontario,2025-09-26,3.259089259259259
Oregon,2025-09-25,3.50179
Oregon,2025-09-26,3.5965115384615385
Pennsylvania,2025-09-26,3.6657766666666665
Quebec,2025-09-26,3.291261875
Quintana Roo,2025-09-25,4.5076
Quintana Roo,2025-09-26,4.4867919999999994
Rhode Island,2025-09-26,3.828716
Saskatchewan,2025-09-25,3.22993
Saskatchewan,2025-09-26,3.2463042857142854
Sinaloa,2025-09-26,4.50607
Sonora,2025-09-25,4.31948
Sonora,2025-09-26,4.312985384615384
South Carolina,2025-09-26,4.3169466666666665
South Dakota,2025-09-25,3.56416
South Dakota,2025-09-26,3.584878
Tamaulipas,2025-09-25,4.4666250000000005
Tamaulipas,2025-09-26,4.492026470588236
Tennessee,2025-09-26,4.00129
Texas,2025-09-25,4.16539
Texas,2025-09-26,4.308225
Utah,2025-09-25,3.84621
Utah,2025-09-26,3.7948415384615384
Washington,2025-09-26,3.36635
West Virginia,2025-09-26,3.837974
Wisconsin,2025-09-25,3.56416
Wisconsin,2025-09-26,3.6019680000000003
Wyoming,2025-09-25,3.56416
Wyoming,2025-09-26,3.605675
Yucatán,2025-09-25,4.53195
Yucatán,2025-09-26,4.4902940000000005
